Time [s],Channel 4,Channel 5,Channel 6,Channel 7
29.198098350,0,1,1,0
29.203405000,0,1,1,1
29.203419000,1,1,1,1
29.204415000,1,0,1,1
29.204419000,1,0,0,1
29.213411000,1,0,1,1
29.213416000,1,1,1,1
29.214416000,1,1,1,0
29.214420000,0,1,1,0
29.223407000,0,1,1,1
29.223421000,1,1,1,1
29.224417000,1,0,1,1
29.224421000,1,0,0,1
29.233413000,1,0,1,1
29.233418000,1,1,1,1
29.234417000,1,1,1,0
29.234422000,0,1,1,0
29.243409000,0,1,1,1
29.243423000,1,1,1,1
29.244419000,1,0,1,1
29.244423000,1,0,0,1
29.246481509,1,0,0,1
