Time [s],Channel 4,Channel 5,Channel 6,Channel 7
15.365069985,1,1,0,0
15.368431000,1,1,0,1
15.368445000,1,1,1,1
15.369441000,1,0,1,1
15.369445000,0,0,1,1
15.378437000,1,0,1,1
15.378442000,1,1,1,1
15.379442000,1,1,1,0
15.379446000,1,1,0,0
15.388433000,1,1,0,1
15.388447000,1,1,1,1
15.389443000,1,0,1,1
15.389447000,0,0,1,1
15.398439000,1,0,1,1
15.398444000,1,1,1,1
15.399443000,1,1,1,0
15.399448000,1,1,0,0
15.408435000,1,1,0,1
15.408449000,1,1,1,1
15.409445000,1,0,1,1
15.409449000,0,0,1,1
15.414502877,0,0,1,1
