Time [s],Channel 4,Channel 5,Channel 6,Channel 7
60.545283796,1,0,1,0
60.548935000,1,0,0,0
60.548949000,0,0,0,0
60.549944000,0,1,0,0
60.549949000,0,1,0,1
60.558941000,0,1,0,0
60.558946000,0,0,0,0
60.559945000,0,0,1,0
60.559950000,1,0,1,0
60.568937000,1,0,0,0
60.568951000,0,0,0,0
60.569946000,0,1,0,0
60.569951000,0,1,0,1
60.578943000,0,1,0,0
60.578947000,0,0,0,0
60.579947000,0,0,1,0
60.579951000,1,0,1,0
60.588939000,1,0,0,0
60.588953000,0,0,0,0
60.589948000,0,1,0,0
60.589953000,0,1,0,1
60.597377898,0,1,0,1
